Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.WAG.003,b  Employer's Identification Number,0,31-0841368,Unaffected,23472,676243,36742064,307750834
Row 1,FAX.WAG.004,c  Employer's name,0,US BANK NATIONAL ASSOC.,Unaffected,23472,676244,36742064,307750835
Row 2,FAX.WAG.005,c  Employer's State,0,NY,Modified,23472,676245,36742064,307750849
Row 3,FAX.WAG.006,a  Employees Social Security Number,0,111-11-1111,Unaffected,23472,676246,36742064,307750860
Row 4,FAX.WAG.010,"Box 1: Wages, tips, other compensation",0,396604,Unaffected,23472,676247,36742064,307750828
Row 5,FAX.WAG.011,Box 2: Federal income tax withheld,0,84671,Unaffected,23472,676248,36742064,307750829
Row 6,FAX.WAG.012,Box 3: Social security wages,0,142800,Unaffected,23472,676249,36742064,307750830
Row 7,FAX.WAG.013,Box 4: Social security tax withheld,0,8854,Unaffected,23472,676250,36742064,307750831
Row 8,FAX.WAG.014,Box 5: Medicare wages and tips,0,423356,Unaffected,23472,676251,36742064,307750832
Row 9,FAX.WAG.015,Box 6: Medicare tax withheld,0,8149,Unaffected,23472,676252,36742064,307750833
Row 10,FAX.WAG.040,c  Employer's Street,0,4000 W BROADWAY,Unaffected,23472,681681,36742064,307750836
Row 11,FAX.WAG.041,c  Employer's Zip Code,0,10281,Unaffected,23472,681682,36742064,307750850
Row 12,FAX.WAG.042,c  Employer's City,0,NEWYORK,Unaffected,23472,681683,36742064,307750848
Row 13,FAX.WAG.077,Tax Year,0,2,Modified,23472,678042,36742064,307750827
Row 14,FAX.WAG.032,Box 14: Other 1 (Description),1,CASDI,Unaffected,23472,677148,36742064,307750840
Row 15,FAX.WAG.033,Box 15: State,1,5,Unaffected,23472,677149,36742064,307750839
Row 16,FAX.WAG.034,Box 15: Employers state ID number,1,2995461,Unaffected,23472,677150,36742064,307750854
Row 17,FAX.WAG.035,"Box 16: State wages, tips, etc.",1,396604,Unaffected,23472,677151,36742064,307750837
Row 18,FAX.WAG.036,Box 17: State income tax,1,46211,Unaffected,23472,677152,36742064,307750838
Row 19,FAX.WAG.048,Box 14: Other 1 amount,1,1540,Unaffected,23472,673466,36742064,307750841
Row 20,FAX.WAG.021,Box 12a: Code,3,C,Modified,23472,676258,36742064,307750842
Row 21,FAX.WAG.022,Box 12a: amount,3,675,Unaffected,23472,677138,36742064,307750843
Row 22,FAX.WAG.023,Box 12b: code,4,D,Modified,23472,677139,36742064,307750844
Row 23,FAX.WAG.024,Box 12b: amount,4,26752,Unaffected,23472,677140,36742064,307750845
Row 24,FAX.WAG.025,Box 12c: code,7,DD,Modified,23472,677141,36742064,307750846
Row 25,FAX.WAG.026,Box 12c: amount,7,32941,Unaffected,23472,677142,36742064,307750847
